"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisF[0]","axisF[1]","axisF[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","setpoint[0]","setpoint[1]","setpoint[2]","setpoint[3]","vbatLatest","amperageLatest","rssi","gyroADC[0]","gyroADC[1]","gyroADC[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","motor[0]","motor[1]","motor[2]","motor[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
128,22718136,-29,-35,52,0,0,0,10,6,0,0,0,0,-10,62,1000,2,-76,27,0,1248,40,99,24,-52,-19,-675,-35,1971,237,157,157,277,3,8,0,1,1,-0.021193918917127658,0.31815299948814296,4.3998488315260404,-19,-29,52,2,-76,27,0,22,24,-46,"",""
136,22719193,-30,-36,50,0,0,0,3,2,0,0,0,0,-10,62,1000,2,-76,27,0,1248,40,99,25,-52,-18,-676,-34,1970,243,178,157,265,3,8,0,1,1,-0.020634956999431256,0.31793579102562736,4.400181654597175,-27,-34,50,2,-76,27,0,23,24,-45,"",""
144,22720265,-32,-36,43,0,0,0,-3,-1,0,0,0,0,-10,62,1000,2,-76,27,0,1248,40,99,26,-51,-11,-677,-31,1968,237,215,157,243,3,8,0,1,1,-0.019973335320469843,0.3177395864396174,4.40038322863868,-35,-37,43,2,-76,27,0,24,25,-38,"",""
152,22721302,-31,-36,34,0,0,0,-6,-3,0,0,0,0,-10,62,1000,2,-76,27,0,1248,40,99,25,-51,-3,-677,-27,1968,218,240,157,226,3,8,0,1,1,-0.019239707132516878,0.31754898532990045,4.400427922721756,-37,-39,34,2,-76,27,0,23,25,-30,"",""
160,22722393,-29,-33,27,0,0,0,-3,-2,0,0,0,0,-11,62,1000,2,-76,27,0,1248,40,99,24,-53,3,-675,-22,1967,206,237,157,213,3,8,0,1,1,-0.01839410531312766,0.31721716614627826,4.400356028709253,-32,-35,27,2,-76,27,0,22,23,-24,"",""
168,22723449,-28,-31,23,0,0,0,1,4,0,0,0,0,-13,62,1000,2,-77,27,0,1248,40,99,22,-56,7,-672,-19,1965,202,214,157,202,3,8,0,1,1,-0.01756125448024295,0.3168007923998356,4.400209531750868,-27,-27,23,2,-77,27,0,20,21,-20,"",""
176,22724504,-29,-29,23,0,0,0,6,12,0,0,0,0,-14,63,1000,1,-77,27,0,1248,40,99,23,-57,7,-668,-18,1964,214,189,157,189,3,8,0,1,1,-0.016742196959629932,0.3162858874641459,4.40006338607427,-23,-17,23,1,-77,27,0,22,20,-20,"",""
184,22725558,-32,-29,25,0,0,0,4,16,0,0,0,0,-15,63,1000,1,-78,27,0,1248,40,99,25,-58,4,-664,-20,1963,234,185,157,179,3,8,0,1,1,-0.015997640845229637,0.3156820837154453,4.399974219832704,-28,-13,25,1,-78,27,0,24,20,-23,"",""
192,22726651,-35,-30,30,0,0,0,-2,15,0,0,0,0,-16,63,1000,1,-78,27,0,1248,40,99,28,-57,1,-659,-24,1963,258,203,157,172,3,8,0,1,1,-0.015321464975393329,0.31497087750390634,4.399940115967932,-37,-15,30,1,-78,27,0,27,21,-26,"",""
200,22727763,-38,-33,34,0,0,0,-11,8,0,0,0,0,-17,63,1000,1,-78,28,0,1248,40,99,30,-56,-3,-656,-29,1963,272,233,157,174,3,8,0,1,1,-0.01475366407211911,0.3142185330536083,4.399984876223363,-49,-25,34,1,-78,28,0,29,22,-31,"",""
208,22728828,-39,-33,37,0,0,0,-17,1,0,0,0,0,-18,63,1000,0,-78,28,0,1248,40,99,30,-55,-6,-653,-32,1964,277,254,157,181,3,8,0,1,1,-0.014304845012467782,0.3134861306820096,4.400085146299891,-56,-32,37,0,-78,28,0,30,23,-34,"",""
216,22729902,-39,-33,39,0,0,0,-16,-3,0,0,0,0,-18,63,1000,0,-78,28,0,1248,40,99,30,-55,-7,-652,-33,1966,265,258,157,198,3,8,0,1,1,-0.013889093182687459,0.31273412493740055,4.40020548520912,-55,-36,39,0,-78,28,0,30,23,-35,"",""
224,22730958,-37,-33,39,0,0,0,-9,-5,0,0,0,0,-19,63,1000,0,-78,28,0,1251,60,99,28,-55,-7,-650,-31,1968,248,244,157,215,3,8,0,1,1,-0.013492228244806666,0.3119733584321437,4.400324759800172,-46,-38,39,0,-78,28,0,28,23,-35,"",""
232,22732020,-34,-32,37,0,0,0,0,-3,0,0,0,0,-19,63,1000,0,-78,28,0,1251,60,99,26,-56,-6,-647,-28,1970,227,221,157,230,3,8,0,1,1,-0.013081408817111508,0.31115035162184235,4.400426492200389,-34,-35,37,0,-78,28,0,26,22,-34,"",""
240,22733071,-32,-30,35,0,0,0,8,0,0,0,0,0,-19,63,1000,0,-78,28,0,1251,60,99,24,-57,-4,-642,-27,1972,214,195,157,236,3,8,0,1,1,-0.012694321260036648,0.31025559268746555,4.4004888186856155,-24,-30,35,0,-78,28,0,24,21,-32,"",""
